http://ai.di.uoa.gr/eu-hydro/ontology/hasNEXTUPID,prop78
http://ai.di.uoa.gr/eu-hydro/ontology/hasNODETYPE,prop79
http://ai.di.uoa.gr/eu-hydro/ontology/hasNEXTDOWNID,prop80
http://earthanalytics.eu/fs/ontology/hasClassName,prop81
http://ai.di.uoa.gr/eu-hydro/ontology/hasTNODE,prop82
http://ai.di.uoa.gr/eu-hydro/ontology/hasCanal_p,prop83
http://earthanalytics.eu/fs/ontology/hasID,prop84
http://ai.di.uoa.gr/eu-hydro/ontology/hasLENGTH,prop85
http://ai.di.uoa.gr/eu-hydro/ontology/hasCanal_l,prop86
http://ai.di.uoa.gr/eu-hydro/ontology/hasWSO_ID,prop87
http://ai.di.uoa.gr/eu-hydro/ontology/hasWCOURSE_ID,prop88
http://ai.di.uoa.gr/eu-hydro/ontology/hasLOC,prop89
http://www.w3.org/2000/01/rdf-schema#label,prop90
http://earthanalytics.eu/fs/ontology/hasLC1_PERC,prop91
http://earthanalytics.eu/fs/ontology/hasOBS_DIRECT,prop92
http://ai.di.uoa.gr/eu-hydro/ontology/hasWINDOW,prop93
